year,team_name,franchise
2012,Fifty Shades of Ray,Mikkels Manatees
2012,It's a Brees,The Beer Barons
2012,SERPION,SERPION
2012,The Alligators,The Aligators
2012,The Brady Bunch,Standard Deviations
2012,The Claireville Cougars,The Claireville Cougars
2012,The Decepticons,The Puffins
2012,The Enmalones,London Tanqs
2012,The Iceman Cometh,Bearnaise Dynamics
2012,The Lynchpin,The Dirty Birds
2013,BREESUS - KING OF THE DREWS,Bearnaise Dynamics
2013,DeMarco Polo,The Puffins
2013,Havn't got a Kluwe,Mikkels Manatees
2013,I'm Sexy and I Knowshon It,Standard Deviations
2013,Jordy Shore,London Tanqs
2013,My Ball Zach Ertz,Kurlewless
2013,SERPION,SERPION
2013,Skittles and Shady,The Hatters
2013,The Alligators,The Aligators
2013,The Catcher in the Rice,The Beer Barons
2013,The Claireville Cougars,The Claireville Cougars
2013,The Sprockets,The Dirty Birds
2014,Doug and the Staff Infections,Bearnaise Dynamics
2014,IT'S ON LIKE NDAMUKONG,The Puffins
2014,In The Aeroplane Over Vereen,The Beer Barons
2014,JOSH GORDON'S GANJA ARMY,Standard Deviations
2014,Jordy 'Shaw,The Dirty Birds
2014,Kung Fu Russel,Kurlewless
2014,Players of Fortetude,Mikkels Manatees
2014,Rivers of Babylon,The Piggies
2014,SERPION,SERPION
2014,Sanu Improved and Peytonted,London Tanqs
2014,Settlers of Catanzaro,The Hatters
2014,The Alligators,The Aligators
2015,Abdullah Akbar,The Piggies
2015,Another Prick in the Ball,London Tanqs
2015,Barth Vader defies physics,Kurlewless
2015,Breakdown Justice,The Beer Barons
2015,Dez Nuts 2016,Mikkels Manatees
2015,EGstra Gurley,Not Enough Cooks
2015,Fitzmagic in the air,The Puffins
2015,Good Luck You Gronks,Leeannacondas
2015,Le'Veon a prayer,The Hatters
2015,One Rush to Rule Jamaal,Mooreccan chicken with rice
2015,Quantum of Wallace,AT Football Team
2015,Rudolph the Red Nosed Tightend,Standard Deviations
2015,SERPION,SERPION
2015,Spare the rod spoil the child,Bearnaise Dynamics
2015,The Aligators,The Aligators
2015,The Sinking Ship,The Dirty Birds
2016,Ah Maclin you've done it again,Mooreccan chicken with rice
2016,All you Snead is love,Not Enough Cooks
2016,Can we Fitz it- yes we Charcan,The Hatters
2016,Daisy Duke Johnsons on Top,Standard Deviations
2016,Donte Go Breaking My Heart,The Dirty Birds
2016,Fire Up the Coleman Grill,Mikkels Manatees
2016,Forte Year Old Virgin,AT Football Team
2016,Gordon Ramseys Cooking Wares,Bearnaise Dynamics
2016,Gotta catch Jamaal,The Piggies
2016,Leeannacondas,Leeannacondas
2016,Meet the Winstons,The Beer Barons
2016,SERPION,SERPION
2016,Teifert Fever,The Puffins
2016,The Adams Family,London Tanqs
2016,The Aligators,The Aligators
2016,Thomas the Tank Engine,Kurlewless
2017,All you Snead is love,Not Enough Cooks
2017,Chicken Karama with rice,Mooreccan chicken with rice
2017,DIGGS IS HOW WE DO IT,The Puffins
2017,Daisy Duke Johnsons on Top,Standard Deviations
2017,Kandys Konservatives,AT Football Team
2017,Leeannacondas,Leeannacondas
2017,Look Morty I'm Charcand-Rick,The Piggies
2017,Meet the Winstons,The Beer Barons
2017,Murray'd with Children,The Dirty Birds
2017,Ring my Bell,Bearnaise Dynamics
2017,SERPION,SERPION
2017,The Adams Family,London Tanqs
2017,The Aligators,The Aligators
2017,Unleash the DemoGordon,Kurlewless
2017,Wake up Mr Freeman,Mikkels Manatees
2017,lynching jordies,The Hatters
2018,Chicken Karama with rice,Mooreccan chicken with rice
2018,Economic Gurley Men,London Tanqs
2018,Harder Breida Faster Stronger,The Dirty Birds
2018,Huey Lewis and the News,Bearnaise Dynamics
2018,Kandys Konservative Koalition,AT Football Team
2018,Kelce me rollin they hatin,The Piggies
2018,L'Ebron James,The Puffins
2018,Leeannacondas,Leeannacondas
2018,Peaches and Kareem,Not Enough Cooks
2018,SERPION,SERPION
2018,Sack Crack n Dak,The Beer Barons
2018,Standard Deviations,Standard Deviations
2018,The Aligators,The Aligators
2018,The Ertz Lockett,The Hatters
2018,The Stafford wives,Kurlewless
2018,Wake up Mr Freeman,Mikkels Manatees
2019,Chicken Karama with rice,Mooreccan chicken with rice
2019,Fuller breida butter,London Tanqs
2019,Hit em where it Ertz,The Piggies
2019,Jumping the Chark,Kurlewless
2019,Kandys Konservative Koalition,AT Football Team
2019,Leeannacondas,Leeannacondas
2019,Peaches and Kareem,Not Enough Cooks
2019,Rolling with Mahomies,The Puffins
2019,SERPION,SERPION
2019,Standard Deviations,Standard Deviations
2019,The Action Jackson Show,The Dirty Birds
2019,The Aligators,The Aligators
2019,The Hatters,The Hatters
2019,Wake up Mr Freeman,Mikkels Manatees
2019,We're in Evan,The Beer Barons
2019,[name redacted],Bearnaise Dynamics
2020,Burnmore Dynamics,Bearnaise Dynamics
2020,Kandys Konservative Koalition,AT Football Team
2020,Leeannacondas,Leeannacondas
2020,Mikkels Manatees,Mikkels Manatees
2020,Mooreccan chicken with rice,Mooreccan chicken with rice
2020,Piggy's Mixon match lolly bar,The Piggies
2020,SERPION,SERPION
2020,Sanders' Herbs and Spices,London Tanqs
2020,Standard Deviations,Standard Deviations
2020,The Aligators,The Aligators
2020,The Beer Barons,The Beer Barons
2020,The Dirty Birds,The Dirty Birds
2020,The Hatters,The Hatters
2020,The Kurt Locker,Kurlewless
2020,The Puffins,The Puffins
2020,Too Many Cooks,Not Enough Cooks
2021,AT Football Team,AT Football Team
2021,Bearnaise Dynamics,Bearnaise Dynamics
2021,Kurlewless,Kurlewless
2021,Leeannacondas,Leeannacondas
2021,Mikkels Manatees,Mikkels Manatees
2021,Piggy's bushfire Carsonists,The Piggies
2021,SERPION,SERPION
2021,Standard Deviations,Standard Deviations
2021,Swiftboats 4 breakdown justice,London Tanqs
2021,The Aligators,The Aligators
2021,The Beer Barons,The Beer Barons
2021,The Dirty Birds,The Dirty Birds
2021,The Hatters,The Hatters
2021,The Puffins,The Puffins
2021,Too Many Cooks,Not Enough Cooks
2021,pending,Mooreccan chicken with rice
2022,AT Football Team,AT Football Team
2022,Bearnaise Dynamics,Bearnaise Dynamics
2022,Fresno Fish Heads,The Fishies
2022,Kurlewless,Kurlewless
2022,Leeannacondas,Leeannacondas
2022,London Tanqs,London Tanqs
2022,Mikkels Manatees,Mikkels Manatees
2022,SERPION,SERPION
2022,Standard Deviations,Standard Deviations
2022,The Aligators,The Aligators
2022,The Beer Barons,The Beer Barons
2022,The Dirty Birds,The Dirty Birds
2022,The Hatters,The Hatters
2022,The Piggies,The Piggies
2022,The Puffins,The Puffins
2022,Too Many Cooks,Not Enough Cooks
2023,AT Football Team,AT Football Team
2023,Bearnaise Dynamics,Bearnaise Dynamics
2023,Kurlewless,Kurlewless
2023,Leeannacondas,Leeannacondas
2023,Mikkels Manatees,Mikkels Manatees
2023,Not Enough Cooks,Not Enough Cooks
2023,Puffin Gesserit,The Puffins
2023,SERPION,SERPION
2023,Standard Deviations,Standard Deviations
2023,The Aligators,The Aligators
2023,The Beer Barons,The Beer Barons
2023,The Dirty Birds,The Dirty Birds
2023,The Fresno Fishies,The Fishies
2023,The Hatters,The Hatters
2023,The Piggies,The Piggies
2023,Yorkshire Puddings,Yorkshire Puddings
2024,AT Football Team,AT Football Team
2024,Bearnaise Dynamics,Bearnaise Dynamics
2024,Kurlewless,Kurlewless
2024,Leeannacondas,Leeannacondas
2024,Mikkels Manatees,Mikkels Manatees
