,year,round,game,home_team,away_team,home_score,away_score,winner
2012_1_1,2012,1,1,The Decepticons,The Iceman Cometh,82.32,111.06,The Iceman Cometh
2012_1_2,2012,1,2,It's a Brees,The Brady Bunch,106.36,107.54,The Brady Bunch
2012_1_3,2012,1,3,The Enmalones,Fifty Shades of Ray,143.32,138.28,The Enmalones
2012_1_4,2012,1,4,The Claireville Cougars,SERPION,114.72,144.2,SERPION
2012_1_5,2012,1,5,The Alligators,The Lynchpin,104.12,75.62,The Alligators
2012_2_1,2012,2,1,The Decepticons,It's a Brees,118.82,136.6,It's a Brees
2012_2_2,2012,2,2,The Brady Bunch,The Enmalones,138.24,86.46,The Brady Bunch
2012_2_3,2012,2,3,The Iceman Cometh,The Claireville Cougars,46.66,65.94,The Claireville Cougars
2012_2_4,2012,2,4,Fifty Shades of Ray,The Alligators,112.94,126.14,The Alligators
2012_2_5,2012,2,5,SERPION,The Lynchpin,123.3,102.4,SERPION
2012_3_1,2012,3,1,The Decepticons,The Claireville Cougars,108.48,105.94,The Decepticons
2012_3_2,2012,3,2,It's a Brees,The Enmalones,125.6,52.52,It's a Brees
2012_3_3,2012,3,3,The Alligators,The Brady Bunch,71.58,135.1,The Brady Bunch
2012_3_4,2012,3,4,The Lynchpin,The Iceman Cometh,123.36,128.1,The Iceman Cometh
2012_3_5,2012,3,5,SERPION,Fifty Shades of Ray,104.32,91.02,SERPION
2012_4_1,2012,4,1,The Decepticons,The Lynchpin,115.2,130.56,The Lynchpin
2012_4_2,2012,4,2,The Claireville Cougars,It's a Brees,125.22,130.64,It's a Brees
2012_4_3,2012,4,3,The Enmalones,The Alligators,88.76,106.24,The Alligators
2012_4_4,2012,4,4,The Brady Bunch,SERPION,170.2,96.06,The Brady Bunch
2012_4_5,2012,4,5,The Iceman Cometh,Fifty Shades of Ray,91.56,115.94,Fifty Shades of Ray
2012_5_1,2012,5,1,The Decepticons,Fifty Shades of Ray,124.54,92.68,The Decepticons
2012_5_2,2012,5,2,It's a Brees,The Alligators,149.2,83.4,It's a Brees
2012_5_3,2012,5,3,The Lynchpin,The Claireville Cougars,91.26,72.64,The Lynchpin
2012_5_4,2012,5,4,SERPION,The Enmalones,94.1,120.6,The Enmalones
2012_5_5,2012,5,5,The Iceman Cometh,The Brady Bunch,89.0,136.02,The Brady Bunch
2012_6_1,2012,6,1,The Decepticons,The Brady Bunch,106.04,118.4,The Brady Bunch
2012_6_2,2012,6,2,The Lynchpin,It's a Brees,104.32,88.08,The Lynchpin
2012_6_3,2012,6,3,The Alligators,SERPION,123.18,79.84,The Alligators
2012_6_4,2012,6,4,The Claireville Cougars,Fifty Shades of Ray,107.56,93.26,The Claireville Cougars
2012_6_5,2012,6,5,The Enmalones,The Iceman Cometh,127.22,123.76,The Enmalones
2012_7_1,2012,7,1,The Decepticons,The Enmalones,82.32,125.48,The Enmalones
2012_7_2,2012,7,2,It's a Brees,SERPION,110.48,79.22,It's a Brees
2012_7_3,2012,7,3,Fifty Shades of Ray,The Lynchpin,66.38,87.38,The Lynchpin
2012_7_4,2012,7,4,The Iceman Cometh,The Alligators,88.04,112.64,The Alligators
2012_7_5,2012,7,5,The Brady Bunch,The Claireville Cougars,113.66,118.82,The Claireville Cougars
2012_8_1,2012,8,1,The Decepticons,The Alligators,70.98,148.74,The Alligators
2012_8_2,2012,8,2,Fifty Shades of Ray,It's a Brees,104.48,97.62,Fifty Shades of Ray
2012_8_3,2012,8,3,SERPION,The Iceman Cometh,116.68,90.08,SERPION
2012_8_4,2012,8,4,The Lynchpin,The Brady Bunch,124.08,92.26,The Lynchpin
2012_8_5,2012,8,5,The Claireville Cougars,The Enmalones,102.28,74.64,The Claireville Cougars
2012_9_1,2012,9,1,The Decepticons,SERPION,116.94,85.2,The Decepticons
2012_9_2,2012,9,2,It's a Brees,The Iceman Cometh,89.06,115.98,The Iceman Cometh
2012_9_3,2012,9,3,The Brady Bunch,Fifty Shades of Ray,136.46,107.94,The Brady Bunch
2012_9_4,2012,9,4,The Enmalones,The Lynchpin,93.92,94.14,The Lynchpin
2012_9_5,2012,9,5,The Claireville Cougars,The Alligators,104.9,147.18,The Alligators
2012_10_1,2012,10,1,The Decepticons,The Iceman Cometh,113.84,124.14,The Iceman Cometh
2012_10_2,2012,10,2,The Brady Bunch,It's a Brees,110.18,127.22,It's a Brees
2012_10_3,2012,10,3,Fifty Shades of Ray,The Enmalones,118.4,91.72,Fifty Shades of Ray
2012_10_4,2012,10,4,SERPION,The Claireville Cougars,77.78,114.64,The Claireville Cougars
2012_10_5,2012,10,5,The Lynchpin,The Alligators,76.46,98.26,The Alligators
2012_11_1,2012,11,1,The Decepticons,It's a Brees,83.38,98.86,It's a Brees
2012_11_2,2012,11,2,The Enmalones,The Brady Bunch,70.18,104.14,The Brady Bunch
2012_11_3,2012,11,3,The Claireville Cougars,The Iceman Cometh,106.6,99.24,The Claireville Cougars
2012_11_4,2012,11,4,The Alligators,Fifty Shades of Ray,102.14,125.52,Fifty Shades of Ray
2012_11_5,2012,11,5,The Lynchpin,SERPION,96.68,110.66,SERPION
2012_12_1,2012,12,1,The Decepticons,The Claireville Cougars,127.84,146.06,The Claireville Cougars
2012_12_2,2012,12,2,The Enmalones,It's a Brees,67.26,90.78,It's a Brees
2012_12_3,2012,12,3,The Brady Bunch,The Alligators,116.02,114.44,The Brady Bunch
2012_12_4,2012,12,4,The Iceman Cometh,The Lynchpin,95.92,89.3,The Iceman Cometh
2012_12_5,2012,12,5,Fifty Shades of Ray,SERPION,109.34,123.0,SERPION
2012_13_1,2012,13,1,The Decepticons,The Lynchpin,142.88,118.7,The Decepticons
2012_13_2,2012,13,2,It's a Brees,The Claireville Cougars,80.54,108.92,The Claireville Cougars
2012_13_3,2012,13,3,The Alligators,The Enmalones,88.82,109.14,The Enmalones
2012_13_4,2012,13,4,SERPION,The Brady Bunch,102.14,80.62,SERPION
2012_13_5,2012,13,5,Fifty Shades of Ray,The Iceman Cometh,153.92,83.8,Fifty Shades of Ray
2012_14_1,2012,14,1,The Decepticons,Fifty Shades of Ray,201.38,86.02,The Decepticons
2012_14_2,2012,14,2,The Alligators,It's a Brees,119.76,84.66,The Alligators
2012_14_3,2012,14,3,The Claireville Cougars,The Lynchpin,127.18,98.36,The Claireville Cougars
2012_14_4,2012,14,4,The Enmalones,SERPION,53.42,69.44,SERPION
2012_14_5,2012,14,5,The Brady Bunch,The Iceman Cometh,127.84,93.58,The Brady Bunch
2012_15_1,2012,15,1,The Decepticons,The Iceman Cometh,117.64,120.0,The Iceman Cometh
2012_15_2,2012,15,2,Fifty Shades of Ray,The Enmalones,75.44,128.14,The Enmalones
2012_15_3,2012,15,3,The Brady Bunch,It's a Brees,125.02,178.58,It's a Brees
2012_15_4,2012,15,4,The Alligators,The Claireville Cougars,76.54,88.16,The Claireville Cougars
2012_16_1,2012,16,1,The Decepticons,Fifty Shades of Ray,136.2,134.24,The Decepticons
2012_16_2,2012,16,2,The Enmalones,The Iceman Cometh,96.28,121.76,The Iceman Cometh
2012_16_3,2012,16,3,It's a Brees,The Claireville Cougars,151.34,121.42,It's a Brees
2012_16_4,2012,16,4,The Brady Bunch,The Alligators,127.68,101.12,The Brady Bunch
2013_1_1,2013,1,1,DeMarco Polo,Skittles and Shady,139.96,89.12,DeMarco Polo
2013_1_2,2013,1,2,The Catcher in the Rice,I'm Sexy and I Knowshon It,118.9,102.34,The Catcher in the Rice
2013_1_3,2013,1,3,Jordy Shore,My Ball Zach Ertz,92.78,171.08,My Ball Zach Ertz
2013_1_4,2013,1,4,The Claireville Cougars,BREESUS - KING OF THE DREWS,128.52,103.78,The Claireville Cougars
2013_1_5,2013,1,5,The Alligators,Havn't got a Kluwe,112.88,84.9,The Alligators
