roster_id,sleeper_name,franchise
1,The Hatters,The Hatters
2,SERPION,SERPION
3,The Fishies,The Fishies
4,The Piggies,The Piggies
5,Seamen,Seamen
6,The Dirty Birds,The Dirty Birds
7,Puffin Gesserit,The Puffins
8,The Yorkshire Puddings,Yorkshire Puddings
9,Burnaise Dynamics,Bearnaise Dynamics
10,The Aligators,The Aligators
11,Beer Barons,The Beer Barons
12,Standard Deviations,Standard Deviations
13,Leeannacondas,Leeannacondas
14,Kurlewis,Kurlewless
15,A&T Football,AT Football Team
16,Not enough cooks,Not Enough Cooks
